replication	sample	demand_type	total_demand	selected_count	selected	context_market	context_trend	context_promotion	context_attention
2	9	REALIZED	1456.2732593140	9	0|3|4|6|7|8|9|10|11	0.4706455331	0.1500000000	0.3966785824	0.5545194187
2	9	CONDITIONAL_MEAN	1686.7152621112	9	0|2|3|4|6|7|8|9|10	0.4706455331	0.1500000000	0.3966785824	0.5545194187
2	10	REALIZED	2713.9000668054	9	0|3|5|6|7|8|9|10|11	0.0240002062	0.1666666667	0.7991231157	0.7914267615
2	10	CONDITIONAL_MEAN	1843.9093665708	9	0|1|4|6|7|8|9|10|11	0.0240002062	0.1666666667	0.7991231157	0.7914267615
2	11	REALIZED	1674.1822978085	9	2|3|4|5|6|8|9|10|11	0.4785420746	0.1833333333	0.3532141188	0.2773768500
2	11	CONDITIONAL_MEAN	1555.7621050421	9	0|2|3|4|6|7|8|9|10	0.4785420746	0.1833333333	0.3532141188	0.2773768500
2	12	REALIZED	2275.8982098220	9	0|1|2|3|5|6|8|9|10	0.2280445340	0.2000000000	0.6398822888	0.2530503518
2	12	CONDITIONAL_MEAN	1612.8383536393	9	0|2|3|4|6|7|8|9|10	0.2280445340	0.2000000000	0.6398822888	0.2530503518
2	13	REALIZED	1756.5429788766	9	0|2|4|5|6|7|8|9|10	0.5380926834	0.2166666667	0.1040596285	0.9400809797
2	13	CONDITIONAL_MEAN	1747.8989679663	9	0|2|3|4|6|7|8|9|10	0.5380926834	0.2166666667	0.1040596285	0.9400809797
2	14	REALIZED	2134.5221584813	9	0|1|4|6|7|8|9|10|11	0.6420040592	0.2333333333	0.7194803219	0.6921588878
2	14	CONDITIONAL_MEAN	2053.8636749913	9	0|1|4|6|7|8|9|10|11	0.6420040592	0.2333333333	0.7194803219	0.6921588878
2	15	REALIZED	1344.3065182074	8	2|3|4|6|8|9|10|11	0.2809235872	0.2500000000	0.7133367072	0.6317637430
2	15	CONDITIONAL_MEAN	1873.2148546145	9	0|1|4|6|7|8|9|10|11	0.2809235872	0.2500000000	0.7133367072	0.6317637430
2	16	REALIZED	1964.5581715914	9	0|1|3|4|6|8|9|10|11	0.2747785770	0.2666666667	0.1850841380	0.3888443955
2	16	CONDITIONAL_MEAN	1456.8434712596	8	0|2|3|4|6|8|9|10	0.2747785770	0.2666666667	0.1850841380	0.3888443955
2	17	REALIZED	2556.5466444037	9	0|1|3|5|6|7|8|9|10	0.9874733609	0.2833333333	0.3103995934	0.9103347758
2	17	CONDITIONAL_MEAN	2084.5587629607	9	0|1|4|6|7|8|9|10|11	0.9874733609	0.2833333333	0.3103995934	0.9103347758
2	18	REALIZED	1798.1150837081	9	1|2|4|6|7|8|9|10|11	0.1248420430	0.3000000000	0.2867571266	0.2249618694
2	18	CONDITIONAL_MEAN	1393.6474182969	8	0|2|3|4|6|8|9|10	0.1248420430	0.3000000000	0.2867571266	0.2249618694
2	19	REALIZED	1218.0017924071	8	0|2|3|4|6|8|9|10	0.5064480529	0.3166666667	0.9943440732	0.7663101922
2	19	CONDITIONAL_MEAN	2230.0216102572	9	1|2|4|6|7|8|9|10|11	0.5064480529	0.3166666667	0.9943440732	0.7663101922
2	20	REALIZED	1491.7257709889	9	0|2|3|4|6|8|9|10|11	0.7470076014	0.3333333333	0.9094270413	0.2477425726
2	20	CONDITIONAL_MEAN	2059.8683008411	9	0|1|4|6|7|8|9|10|11	0.7470076014	0.3333333333	0.9094270413	0.2477425726
2	21	REALIZED	1461.2949702550	8	0|3|6|7|8|9|10|11	0.5441559136	0.3500000000	0.1866082613	0.2194560235
2	21	CONDITIONAL_MEAN	1538.8671998732	8	0|2|3|4|6|8|9|10	0.5441559136	0.3500000000	0.1866082613	0.2194560235
2	22	REALIZED	1621.7535162113	9	0|1|3|4|6|8|9|10|11	0.4888542285	0.3666666667	0.7223937653	0.6958256199
2	22	CONDITIONAL_MEAN	2053.5108128476	9	0|1|4|6|7|8|9|10|11	0.4888542285	0.3666666667	0.7223937653	0.6958256199
2	23	REALIZED	3086.0482594491	9	0|1|2|4|6|8|9|10|11	0.7669723481	0.3833333333	0.1940278283	0.7461621070
2	23	CONDITIONAL_MEAN	1893.0221322267	9	0|1|4|6|7|8|9|10|11	0.7669723481	0.3833333333	0.1940278283	0.7461621070
2	24	REALIZED	1812.9310140075	9	0|2|5|6|7|8|9|10|11	0.3424022326	0.4000000000	0.4355180618	0.5490743158
2	24	CONDITIONAL_MEAN	1769.7035602826	9	0|2|4|6|7|8|9|10|11	0.3424022326	0.4000000000	0.4355180618	0.5490743158
2	25	REALIZED	2182.5005265951	9	1|2|4|5|6|7|8|9|11	0.7594475024	0.4166666667	0.7785725367	0.9805373148
2	25	CONDITIONAL_MEAN	2356.5792213341	9	1|2|4|6|7|8|9|10|11	0.7594475024	0.4166666667	0.7785725367	0.9805373148
2	26	REALIZED	1339.4599654648	8	0|3|4|6|7|8|9|10	0.4821013111	0.4333333333	0.0470038003	0.3933303892
2	26	CONDITIONAL_MEAN	1546.7791238321	9	0|2|3|4|6|7|8|9|10	0.4821013111	0.4333333333	0.0470038003	0.3933303892
2	27	REALIZED	2568.3993530341	9	2|3|4|6|7|8|9|10|11	0.7600439576	0.4500000000	0.3299052280	0.9065282699
2	27	CONDITIONAL_MEAN	2074.0046121468	9	0|1|4|6|7|8|9|10|11	0.7600439576	0.4500000000	0.3299052280	0.9065282699
2	28	REALIZED	1526.9725531915	9	0|3|4|6|7|8|9|10|11	0.0991847770	0.4666666667	0.3760908757	0.7913934379
2	28	CONDITIONAL_MEAN	1768.7221963768	9	0|2|4|6|7|8|9|10|11	0.0991847770	0.4666666667	0.3760908757	0.7913934379
2	29	REALIZED	1236.8933909152	8	0|3|4|5|6|8|9|10	0.4563741074	0.4833333333	0.3233804837	0.2152309604
