replication	query	nominal_total	truth_selected	saa_selected	csaa_selected	truth_count	saa_count	csaa_count	saa_regret_pct	csaa_regret_pct	ess	saa_demand_l1_pct	csaa_demand_l1_pct	saa_share_tv_pct	csaa_share_tv_pct	context_market	context_trend	context_promotion	context_attention
3	0	1794.9027697521	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	29.0949631080	8.3041365446	8.3853664335	4.1460776212	4.2165309686	0.7443093233	1.0000000000	0.2627732809	0.1615608587
3	1	2073.8741694708	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	33.7802980508	13.5682351632	11.7287342260	3.4692939163	2.9063295571	0.8249523922	1.0000000000	0.1814428979	0.6775994457
3	2	2487.9949503223	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	25.8574934032	27.6971866426	20.2163223614	3.2607332534	3.3519924516	0.8599276674	1.0000000000	0.9923525610	0.8820810371
3	3	1861.1404803217	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	29.2238539644	8.7153999254	9.7579637143	4.1030906166	4.4577654486	0.9129541553	1.0000000000	0.2031994514	0.2141196497
3	4	1764.1996633345	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	36.1651645811	9.6517923086	8.4437291823	4.5343085007	3.6173243390	0.0101001660	1.0000000000	0.1383652157	0.6616850247
3	5	1709.5968515987	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	34.7717071157	11.1005902076	8.5320581134	4.8611960886	3.7283996105	0.4651796302	1.0000000000	0.0459317246	0.3280962762
3	6	2431.6401031702	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	28.5094246828	26.0215217323	17.8329087653	3.0670489848	3.0123634628	0.8090401058	1.0000000000	0.7942937123	0.9420830273
3	7	1941.4911596850	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	31.0039359241	8.7462436336	5.9093549050	3.8098803953	2.7243478020	0.1616496041	1.0000000000	0.0998112452	0.9161376923
3	8	2142.0635494213	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	32.9581752185	16.0206826843	13.6499354021	3.4818786918	3.6085500664	0.9520027012	1.0000000000	0.3876602627	0.5848049871
3	9	1640.4751355937	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	30.7164664710	13.7699830424	11.9336685564	5.3451765696	4.1597171266	0.1075470100	1.0000000000	0.0609101202	0.4218418636
3	10	1932.5008632195	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	25.0566052570	8.2357108276	6.7364903151	3.3162699798	3.4022275186	0.3742492785	1.0000000000	0.9700921422	0.1864660330
3	11	2236.6044970884	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	32.1366012490	19.5704762458	10.9847473951	2.5484079760	2.1501924698	0.5717149745	1.0000000000	0.4760968276	0.9463436602
3	12	2085.6555716327	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	28.2264829744	13.7656373107	12.4103904928	3.4713898293	4.3672841800	0.9626693747	1.0000000000	0.5591686521	0.3604535106
3	13	2550.2572692456	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	25.4147216839	29.4623971093	22.4921289823	3.3776443211	3.6278842281	0.9586318438	1.0000000000	0.9721232032	0.9464770629
3	14	1903.2125100114	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	34.4490807327	7.8079623414	4.6931789247	3.7784228836	2.4550648330	0.2309967129	1.0000000000	0.1768016558	0.7498200712
3	15	2158.9561712678	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	33.6435887554	16.6777737680	9.1953616658	2.7057339968	2.3754683906	0.6622122595	1.0000000000	0.5203824065	0.7154076706
3	16	1947.4793319413	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	35.6112071113	10.1978309087	9.2869568907	3.8912025256	3.1220973743	0.7458558495	1.0000000000	0.0705656477	0.5690218426
3	17	2113.8392784729	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	28.1157325166	14.8993793619	9.7701653648	3.4551509360	3.2221761426	0.0109908034	1.0000000000	0.7049875150	0.9309097962
3	18	2219.2942082706	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	30.4308911698	18.9431334264	12.3661162096	2.8794699680	2.6771929675	0.7952416316	1.0000000000	0.7365224060	0.5977098152
3	19	1938.3004693113	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	0|1|4|5|6|7|8|9|10	9	9	9	0.0000000000	0.0000000000	24.7285043773	8.6743940332	6.6533763326	3.5599875252	3.4478527844	0.1540037425	1.0000000000	0.9197243387	0.3727973688
