replication	volatility	capacity_scale	method	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
2	MEDIUM	1.00	D	Optimal	true	63738.7502577426	8.102312390e-05	0.006563	9	0|3|4|6|7|8|9|10|11	101134.5114794971	37015.3131738716	169267.9559867152	195736.2657283038	273234.8471168001	0.0659232098	476.5658859497	0.5424863543
2	MEDIUM	1.00	SAA	Optimal	true	77582.4064407284	1.728238591e-06	1.287200	9	0|2|3|4|6|8|9|10|11	101069.0428410681	36850.5819671794	169687.8908376796	195141.9406909177	276407.0826602978	0.0680457567	362.0812365038	0.5442067843
2	MEDIUM	1.00	CSAA	Optimal	true	79507.5183712859	2.261206359e-05	1.237417	9	0|2|3|4|6|8|9|10|11	101069.0428410681	36850.5819671794	169687.8908376796	195141.9406909177	276407.0826602978	0.0680457567	362.0812365038	0.5442067843
2	MEDIUM	0.75	D	Optimal	true	75361.4822039227	0.000000000	0.012836	9	0|1|4|6|7|8|9|10|11	119720.4034520271	42958.2242788317	198472.5591847706	226489.6047440898	309136.9317339203	0.1379705911	451.9200832170	0.6707251860
2	MEDIUM	0.75	SAA	Optimal	true	90794.4423212708	0.000000000	1.603463	9	0|3|4|5|6|8|9|10|11	119131.7744208753	42347.7052835620	198161.6716717631	225216.6931086021	308990.3569171871	0.1372216190	793.3190522765	0.6584567184
2	MEDIUM	0.75	CSAA	Optimal	true	92972.4743894487	8.661771798e-05	1.586452	9	0|3|4|5|6|8|9|10|11	119131.7744208753	42347.7052835620	198161.6716717631	225216.6931086021	308990.3569171871	0.1372216190	793.3190522765	0.6584567184
2	MEDIUM	0.60	D	Optimal	true	87366.2495214162	5.962349513e-05	0.006900	9	0|1|4|5|6|8|9|10|11	135363.8795066944	46313.9950587963	221347.5925966615	249422.1719670406	335202.8589784561	0.2055253138	938.8125249280	0.7614923472
2	MEDIUM	0.60	SAA	Optimal	true	103063.7010649772	0.000000000	1.669543	9	0|3|4|5|6|8|9|10|11	135180.7610685044	46429.3993079374	219436.6938632288	249314.6270267368	333291.8751393911	0.2122372039	925.8388118231	0.7515077409
2	MEDIUM	0.60	CSAA	Optimal	true	105497.7398978761	0.000000000	1.499307	9	0|3|4|5|6|8|9|10|11	135180.7610685044	46429.3993079374	219436.6938632288	249314.6270267368	333291.8751393911	0.2122372039	925.8388118231	0.7515077409
2	HIGH	1.00	D	Optimal	true	63756.6286098279	0.000000000	0.007272	9	0|3|4|6|7|8|9|10|11	113809.1822000967	59806.3613848572	221643.9245916660	277238.9174233592	440612.8187769798	0.1375588086	1028.1759759864	0.4989455751
2	HIGH	1.00	SAA	Optimal	true	89414.5504477234	0.000000000	1.035932	9	0|2|3|4|6|8|9|10|11	113543.2164967220	59720.1549686285	223716.6664862831	276660.2527188601	444185.0619976335	0.1398656173	816.3965688088	0.5003260517
2	HIGH	1.00	CSAA	Optimal	true	90798.1776825761	0.000000000	1.039888	9	0|2|3|4|6|8|9|10|11	113543.2164967220	59720.1549686285	223716.6664862831	276660.2527188601	444185.0619976335	0.1398656173	816.3965688088	0.5003260517
2	HIGH	0.75	D	Optimal	true	75787.7826800638	0.000000000	0.013760	9	0|1|4|6|7|8|9|10|11	131493.4765416383	66097.7494797198	252883.3193082481	307830.8178998249	477100.8827232120	0.2177254073	1255.2272754177	0.6063162450
2	HIGH	0.75	SAA	Optimal	true	102738.7713662060	5.820694122e-05	1.335294	9	0|3|4|5|6|8|9|10|11	130918.0023096312	65673.2320257171	254602.1160149992	307097.1399164356	477322.2502903764	0.2158564958	1669.4066595117	0.5961299962
