replication	mqc_scale	sample	demand_type	total_demand	selected_count	selected	objective	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	status	certified	gap
1	1.50	57	REALIZED	2209.4823879578	9	1|2|3|4|5|8|9|10|11	131467.6026853692	123946.2347466264	7521.3679387429	0.0000000000	62.1413777626	0.0000000000	Optimal	true	0.000000000
1	1.50	57	CONDITIONAL_MEAN	2305.1303373494	9	1|2|3|4|5|7|8|9|10	131256.6418235595	129017.1313977651	2239.5104257944	0.0000000000	22.5805783869	0.0000000000	Optimal	true	0.000000000
1	1.50	58	REALIZED	2470.8536154467	9	1|2|3|4|5|7|8|9|10	141946.0319929801	138826.3180814543	3119.7139115258	0.0000000000	25.0170819706	0.0000000000	Optimal	true	0.000000000
1	1.50	58	CONDITIONAL_MEAN	2056.6425098321	9	1|2|3|4|5|7|8|9|10	116458.2125180807	116449.2419348041	8.9705832766	0.0000000000	0.0722161121	0.0000000000	Optimal	true	0.000000000
1	1.50	59	REALIZED	2596.4205580216	9	2|3|4|5|6|7|8|9|10	143595.8595347185	131287.8920820978	12307.9674526208	0.0000000000	98.4244705468	0.0000000000	Optimal	true	0.000000000
1	1.50	59	CONDITIONAL_MEAN	2032.7147439874	8	1|2|3|4|5|8|9|10	113331.0190883805	111951.9607414208	1379.0583469596	0.0000000000	13.4653307443	0.0000000000	Optimal	true	0.000000000
1	1.75	0	REALIZED	2294.5609342973	8	2|3|4|5|7|8|9|11	156044.5429230338	138322.0656371837	17722.4772858501	0.0000000000	131.8422541720	0.0000000000	Optimal	true	0.000000000
1	1.75	0	CONDITIONAL_MEAN	2302.3516806904	9	1|2|3|4|5|7|8|9|10	132932.8076924413	131484.1328958381	1448.6747966032	0.0000000000	16.0394739790	0.0000000000	Optimal	true	0.000000000
1	1.75	1	REALIZED	1235.6231319459	5	1|2|3|4|5	68275.9547490360	62835.6471440392	3827.6869359929	1612.6206690038	56.1350664600	78.2318727289	Optimal	true	0.000000000
1	1.75	1	CONDITIONAL_MEAN	1637.1150058755	6	2|3|4|5|8|9	89500.0550637445	85540.0173405758	3960.0377231687	0.0000000000	48.7528152668	0.0000000000	Optimal	true	0.000000000
1	1.75	2	REALIZED	2083.6705462960	8	1|2|3|4|5|8|9|11	121804.2391528663	110580.5081706331	10798.8771658416	424.8538163916	100.2821505613	10.4807264399	Optimal	true	0.000000000
1	1.75	2	CONDITIONAL_MEAN	2390.8014182625	9	1|2|3|4|5|7|8|9|10	138702.8377281522	134066.2706925982	4636.5670355539	0.0000000000	45.6122486203	0.0000000000	Optimal	true	0.000000000
1	1.75	3	REALIZED	1292.3634913728	5	4|5|7|8|9	107502.9510160195	63033.8613194251	40109.3158289720	4359.7738676225	227.0877915730	193.6724794013	Optimal	true	0.000000000
1	1.75	3	CONDITIONAL_MEAN	1591.8214963140	6	2|3|4|5|8|9	86875.8352357119	83296.2926134420	3579.5426222699	0.0000000000	44.5254460794	0.0000000000	Optimal	true	0.000000000
1	1.75	4	REALIZED	1861.8071150180	7	1|2|3|5|6|8|9	106398.6024403110	98808.8304455550	7589.7719947560	0.0000000000	53.0097772586	0.0000000000	Optimal	true	0.000000000
1	1.75	4	CONDITIONAL_MEAN	1663.6590493040	6	2|3|4|5|8|9	91279.7427920436	86634.7929022946	4644.9498897490	0.0000000000	58.1743612983	0.0000000000	Optimal	true	0.000000000
1	1.75	5	REALIZED	1729.0567843884	7	1|2|3|4|5|8|9	92646.8627254346	92257.6405587393	389.2221666953	0.0000000000	2.5121925439	0.0000000000	Optimal	true	0.000000000
1	1.75	5	CONDITIONAL_MEAN	1604.2921915804	6	2|3|4|5|8|9	88213.2843389588	85172.4891941778	3040.7951447810	0.0000000000	40.7862925804	0.0000000000	Optimal	true	0.000000000
1	1.75	6	REALIZED	2453.1620321485	9	1|2|3|4|5|6|7|8|10	148444.6666359394	140439.2542157193	8005.4124202201	0.0000000000	72.9752871683	0.0000000000	Optimal	true	0.000000000
