replication	volatility	capacity_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
2	HIGH	1.00	C_CHI2	5.00	PrimalFeasible	true	200258.8898332449	0.000000000	5.923500	9	0|1|2|4|6|8|9|10|11	114314.3353967995	59520.2636486079	223573.0480473171	277167.6537067255	446116.9375295327	0.1427373267	733.4179999382	0.5010598956
2	HIGH	0.75	C_CHI2	0.50	PrimalFeasible	true	129315.9976692732	0.000000000	11.723595	9	0|2|3|4|6|8|9|10|11	130796.8812681607	66204.3563681802	255335.4583896948	307145.1842542175	478774.8836836038	0.2203525604	892.7280924370	0.6046774908
2	HIGH	0.75	C_CHI2	5.00	PrimalFeasible	true	226502.8195474588	0.000000000	4.863853	9	0|1|2|4|6|8|9|10|11	131503.0999284399	66007.1077910603	254473.5987796465	307509.4945887839	480806.0444529731	0.2226746807	947.1433561960	0.6057832766
2	HIGH	0.60	C_CHI2	0.50	PrimalFeasible	true	142968.7811113900	0.000000000	6.634651	9	0|2|3|4|6|8|9|10|11	145270.3259365633	70229.7587130923	276588.3424505433	329943.3270760593	501646.5693800616	0.2942977320	1297.3495342066	0.6841590426
2	HIGH	0.60	C_CHI2	5.00	PrimalFeasible	true	246860.0737351261	0.000000000	5.103541	9	0|1|2|4|6|8|9|10|11	145998.0686266595	70023.0056590720	277372.6587228425	330177.6977171410	503296.8149664719	0.2965595038	1483.1774613424	0.6852544200
3	LOW	1.00	C_CHI2	0.50	PrimalFeasible	true	76148.9181011963	0.000000000	3.911843	9	0|1|4|5|6|7|8|9|10	70267.0975832193	8606.4637846672	85926.7753629632	92713.9195971979	111270.9022154896	0.0009699950	452.2054611020	0.4366172714
3	LOW	1.00	C_CHI2	5.00	PrimalFeasible	true	93950.1862297338	0.000000000	4.695182	9	0|1|4|5|7|8|9|10|11	70486.9652615323	8599.9894414685	86040.4392308665	92934.3363262865	110692.4894078972	0.0004999225	419.8906996875	0.4378371066
3	LOW	0.75	C_CHI2	0.50	PrimalFeasible	true	88632.1424784092	0.000000000	3.958527	9	0|1|4|5|6|7|8|9|10	80071.3402290312	12094.9159843553	102763.0853825305	112080.1669490239	132664.5850759613	0.0090073367	198.0279623826	0.5774728292
3	LOW	0.75	C_CHI2	5.00	PrimalFeasible	true	112981.4898029539	0.000000000	5.769337	9	0|1|4|5|7|8|9|10|11	80338.4482780444	12045.8684125588	102533.1471254870	112099.6415964916	131079.9451008180	0.0058438644	532.7598768863	0.5806615470
3	LOW	0.60	C_CHI2	0.50	PrimalFeasible	true	103405.6809256365	0.000000000	4.391220	9	0|1|4|5|6|7|8|9|10	92454.9731103570	15482.1093418729	122279.3874116827	131804.2521719994	151262.1036541291	0.0328694859	15.9115847142	0.7044597993
3	LOW	0.60	C_CHI2	5.00	PrimalFeasible	true	131626.5155691052	0.000000000	2.262517	9	0|1|3|4|5|7|8|9|10	94030.1136314014	14317.2453770099	120949.3628800851	130384.6902400628	150243.9400644776	0.0391891130	384.4460707469	0.6940934707
3	MEDIUM	1.00	C_CHI2	0.50	PrimalFeasible	true	89062.8849072769	0.000000000	2.570489	9	0|1|4|5|6|7|8|9|10	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645	0.4233259770
3	MEDIUM	1.00	C_CHI2	5.00	PrimalFeasible	true	137796.4874468228	0.000000000	3.039142	9	0|1|4|5|6|7|8|9|10	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645	0.4233259770
3	MEDIUM	0.75	C_CHI2	0.50	PrimalFeasible	true	105321.1483336721	0.000000000	4.495235	9	0|1|4|5|6|7|8|9|10	89657.9506000077	32622.4750240457	153192.0093480510	185088.1612116954	238393.2391460954	0.0540317864	528.5492783229	0.5454749844
3	MEDIUM	0.75	C_CHI2	5.00	PrimalFeasible	true	169205.6820697956	0.000000000	0.852962	9	0|1|4|5|6|7|8|9|10	89657.9506000077	32622.4750240457	153192.0093480510	185088.1612116954	238393.2391460954	0.0540317864	528.5492783229	0.5454749844
3	MEDIUM	0.60	C_CHI2	0.50	PrimalFeasible	true	121046.1955682143	0.000000000	3.734684	9	0|1|4|5|6|7|8|9|10	102557.1196189150	37909.9990368218	174987.4255683553	208954.7175017405	266299.9328694233	0.0998888427	519.7555532780	0.6487904567
3	MEDIUM	0.60	C_CHI2	5.00	PrimalFeasible	true	195399.0600411953	0.000000000	3.531800	9	0|1|4|5|6|7|8|9|10	102557.1196189150	37909.9990368218	174987.4255683553	208954.7175017405	266299.9328694233	0.0998888427	519.7555532780	0.6487904567
3	HIGH	1.00	C_CHI2	0.50	PrimalFeasible	true	107499.4096075505	9.862042281e-07	2.267139	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	1.00	C_CHI2	5.00	PrimalFeasible	true	207131.2144035225	0.000000000	0.898887	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
