replication	market_structure	sample	demand_type	total_demand	free_count	fixed_count	total_cost	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	selected_capacity	selected_mqc	covered_lanes	capacity_short_lanes	lane_capacity_shortfall	selected
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	5	155504.7094136344	124011.5093144497	31493.2000991846	0.0000000000	343.3865728167	0.0000000000	2230.3197701405	903.1567621549	20	13	343.3865728167	3|4|7|8|11
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	6	144672.6783549599	126731.3962737230	17941.2820812369	0.0000000000	184.1662544461	0.0000000000	2404.9957847977	950.9213896337	20	12	184.1662544461	3|4|5|7|8|9
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	7	139072.5148696911	126162.3850336939	12910.1298359972	0.0000000000	131.8392906315	0.0000000000	2723.6081811370	1055.7470192783	20	10	131.8392906315	2|3|4|5|7|8|9
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	8	135736.3928835300	131044.9998388991	4691.3930446310	0.0000000000	47.2138051705	0.0000000000	3001.6843418743	1163.4611529004	20	8	47.2138051705	2|3|4|5|7|8|9|10
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	9	133499.0233230215	132050.3485264183	1448.6747966032	0.0000000000	16.0394739790	0.0000000000	3380.1810725932	1286.8856180164	20	5	16.0394739790	1|2|3|4|5|7|8|9|10
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	2	211076.9032794273	62970.8069075462	148106.0963718812	0.0000000000	1247.4848002178	0.0000000000	1054.8668804726	436.9850030361	13	20	1247.4848002178	3|7
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	3	185430.4891598940	90932.4244610761	94498.0646988180	0.0000000000	836.2419327434	0.0000000000	1466.1097479470	567.0205166082	15	20	836.2419327434	3|7|8
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	4	165125.9517264720	104432.8308665326	60693.1208599395	0.0000000000	579.2811359400	0.0000000000	1771.1505875206	737.5118895035	19	17	579.2811359400	3|4|7|8
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	5	151485.3191366007	110392.8597877017	41092.4593488991	0.0000000000	419.2559905568	0.0000000000	2076.9771008404	825.9450993088	20	15	419.2559905568	3|4|5|7|8
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	6	141313.0897987750	123371.8077175382	17941.2820812369	0.0000000000	184.1662544461	0.0000000000	2404.9957847977	950.9213896337	20	12	184.1662544461	3|4|5|7|8|9
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	7	134545.9851017596	121635.8552657624	12910.1298359972	0.0000000000	131.8392906315	0.0000000000	2723.6081811370	1055.7470192783	20	10	131.8392906315	2|3|4|5|7|8|9
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	8	131625.1872434100	126933.7941987791	4691.3930446310	0.0000000000	47.2138051705	0.0000000000	3001.6843418743	1163.4611529004	20	8	47.2138051705	2|3|4|5|7|8|9|10
1	PERSISTENT_CARRIER_FACTOR_WIDE	0	CONDITIONAL_MEAN	2302.3516806904	9	9	129562.0028385952	128113.3280419920	1448.6747966032	0.0000000000	16.0394739790	0.0000000000	3380.1810725932	1286.8856180164	20	5	16.0394739790	1|2|3|4|5|7|8|9|10
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	2	211076.9032794273	62970.8069075462	148106.0963718812	0.0000000000	1247.4848002178	0.0000000000	1054.8668804726	546.2312537951	13	20	1247.4848002178	3|7
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	3	185430.4891598940	90932.4244610761	94498.0646988180	0.0000000000	836.2419327434	0.0000000000	1466.1097479470	708.7756457602	15	20	836.2419327434	3|7|8
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	4	165125.9517264720	104432.8308665326	60693.1208599395	0.0000000000	579.2811359400	0.0000000000	1771.1505875206	921.8898618794	19	17	579.2811359400	3|4|7|8
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	5	151485.3191366007	110392.8597877017	41092.4593488991	0.0000000000	419.2559905568	0.0000000000	2076.9771008404	1032.4313741359	20	15	419.2559905568	3|4|5|7|8
1	PERSISTENT_WIDE_MQC_1.25	0	CONDITIONAL_MEAN	2302.3516806904	9	6	141313.0897987750	123371.8077175382	17941.2820812369	0.0000000000	184.1662544461	0.0000000000	2404.9957847977	1188.6517370421	20	12	184.1662544461	3|4|5|7|8|9
