design	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	context_market	context_trend	context_promotion	context_attention	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
DENSE_INDEPENDENT_LEVELS	2	4	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2283.9039847678	0.4284520792	1.0000000000	0.4651787459	0.9378784179	104904.4993250832	39168.4436249810	182968.1599379948	205780.3651171216	279072.6106270257	0.0541087564	665.8220734427
DENSE_INDEPENDENT_LEVELS	2	4	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2283.9039847678	0.4284520792	1.0000000000	0.4651787459	0.9378784179	105086.1452785120	38821.8281316286	182047.0727500300	204619.2650644367	276691.0700815351	0.0641527301	479.3062032812
DENSE_INDEPENDENT_LEVELS	2	4	CSAA	Optimal	true	80918.7240107236	0.000000000	2.679257	33.3426662206	9	2|3|4|6|7|8|9|10|11	2283.9039847678	0.4284520792	1.0000000000	0.4651787459	0.9378784179	104904.4993250832	39168.4436249810	182968.1599379948	205780.3651171216	279072.6106270257	0.0541087564	665.8220734427
DENSE_INDEPENDENT_LEVELS	2	5	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	1901.9139040998	0.8933679664	1.0000000000	0.0115439997	0.2325886474	78580.0238280114	30747.3488933891	135312.9280834544	169518.5311682150	294634.5305376459	0.0306007559	1633.8642880593
DENSE_INDEPENDENT_LEVELS	2	5	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	1901.9139040998	0.8933679664	1.0000000000	0.0115439997	0.2325886474	78641.2069733655	30917.2702453100	137118.8892392138	169936.0440057332	290235.3965696815	0.0397614793	1124.1615577864
DENSE_INDEPENDENT_LEVELS	2	5	CSAA	Optimal	true	76432.9083353070	0.000000000	3.625809	34.0677144074	9	2|3|4|5|6|8|9|10|11	1901.9139040998	0.8933679664	1.0000000000	0.0115439997	0.2325886474	78831.9766972286	30068.2644286697	135004.0668229489	168002.5626258001	295688.0605132607	0.0307906339	2329.6010598543
DENSE_INDEPENDENT_LEVELS	2	6	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2769.3452065564	0.8917414828	1.0000000000	0.9161420064	0.9740422327	138667.6438406811	56290.2861266307	238059.8112163002	295093.8067039703	398975.5079252098	0.0930698281	209.4813170691
DENSE_INDEPENDENT_LEVELS	2	6	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2769.3452065564	0.8917414828	1.0000000000	0.9161420064	0.9740422327	138945.9359891198	55813.3323159093	240097.8709550444	294030.2759468347	398435.2113359566	0.1076212595	156.5662630746
DENSE_INDEPENDENT_LEVELS	2	6	CSAA	Optimal	true	89650.3686860308	0.000000000	2.959972	27.4293741909	9	0|2|4|5|6|8|9|10|11	2769.3452065564	0.8917414828	1.0000000000	0.9161420064	0.9740422327	136882.5271807451	54643.3154039287	233828.5099438612	290254.5302820531	395752.0382948450	0.0965882665	281.8956920272
DENSE_INDEPENDENT_LEVELS	2	7	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2253.2593597444	0.5807031901	1.0000000000	0.9813087194	0.0419212368	103994.1158416606	40858.9679230945	180303.1622049769	213060.1967729213	376964.1791532574	0.0550285180	616.7234914803
DENSE_INDEPENDENT_LEVELS	2	7	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2253.2593597444	0.5807031901	1.0000000000	0.9813087194	0.0419212368	104238.9852615428	40542.9115247665	179324.3387053579	211846.6306093942	378245.7636472852	0.0676901419	450.5313331510
DENSE_INDEPENDENT_LEVELS	2	7	CSAA	Optimal	true	94465.4441343084	0.000000000	2.752953	18.2189680022	9	0|2|4|5|6|8|9|10|11	2253.2593597444	0.5807031901	1.0000000000	0.9813087194	0.0419212368	103520.0392944726	39637.0153849680	175749.8746173116	209474.5924156610	380452.7392279903	0.0600704906	727.5023020130
DENSE_INDEPENDENT_LEVELS	2	8	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2419.3427131983	0.3419355907	1.0000000000	0.7579744128	0.9379985667	110656.9490434274	46400.0349173827	203545.1907357896	240478.3090923292	344271.7116364620	0.0640983336	532.9817101738
DENSE_INDEPENDENT_LEVELS	2	8	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2419.3427131983	0.3419355907	1.0000000000	0.7579744128	0.9379985667	110959.3805051882	46093.1005224225	204060.9098845422	239734.1724977378	342927.5960842760	0.0763157500	400.4640264812
DENSE_INDEPENDENT_LEVELS	2	8	CSAA	Optimal	true	83962.7991504346	0.000000000	4.939271	29.9529770062	9	0|2|4|5|6|8|9|10|11	2419.3427131983	0.3419355907	1.0000000000	0.7579744128	0.9379985667	109605.7216755512	44851.4564591238	199183.1090368592	236102.7537542071	343707.7489261061	0.0664870574	649.3698070094
DENSE_INDEPENDENT_LEVELS	2	9	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2108.3818865031	0.8161927618	1.0000000000	0.2959001351	0.3928563578	90097.5325681682	33022.1280033398	152262.5664882818	179210.2817194725	246528.4678733407	0.0394782684	1095.7468416289
DENSE_INDEPENDENT_LEVELS	2	9	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2108.3818865031	0.8161927618	1.0000000000	0.2959001351	0.3928563578	90471.8986122851	33101.8663280363	152716.0543555902	178976.2833673447	244391.9045449425	0.0512637512	787.8334153659
DENSE_INDEPENDENT_LEVELS	2	9	CSAA	Optimal	true	80049.9052642692	9.103525361e-05	5.128900	36.7872404408	9	0|2|4|5|6|8|9|10|11	2108.3818865031	0.8161927618	1.0000000000	0.2959001351	0.3928563578	89967.9652648166	32130.2503993316	151084.2760861619	176337.5385391052	238727.5241829488	0.0441167611	1113.3822280699
DENSE_INDEPENDENT_LEVELS	2	10	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2377.7615114930	0.7593753627	1.0000000000	0.9207210979	0.2250529991	113135.9359548040	43874.0720153588	194640.1148101795	230555.4270601306	284897.5152733558	0.0648132689	501.9617266505
DENSE_INDEPENDENT_LEVELS	2	10	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2377.7615114930	0.7593753627	1.0000000000	0.9207210979	0.2250529991	113365.3173495709	43648.3068994672	194983.9780986523	229638.3120543080	282747.4244267164	0.0785572517	383.4456059532
DENSE_INDEPENDENT_LEVELS	2	10	CSAA	Optimal	true	95073.5592161554	0.000000000	2.207657	21.1624284777	9	0|2|4|5|6|8|9|10|11	2377.7615114930	0.7593753627	1.0000000000	0.9207210979	0.2250529991	111974.0716731629	42587.3570263595	191678.9952797328	227217.8330651490	283971.1706464066	0.0682338163	615.4340890102
DENSE_INDEPENDENT_LEVELS	2	11	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2133.2687021106	0.6857201894	1.0000000000	0.5999800279	0.1747724957	94021.9822643985	34589.7645968799	157015.0372016754	187844.9985182622	258587.1265066835	0.0409521507	893.4654304381
DENSE_INDEPENDENT_LEVELS	2	11	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2133.2687021106	0.6857201894	1.0000000000	0.5999800279	0.1747724957	94295.5738462489	34480.7963290244	157784.7489725993	186909.6834752063	260741.8678923041	0.0522054548	642.7763498753
DENSE_INDEPENDENT_LEVELS	2	11	CSAA	Optimal	true	87004.6627775964	0.000000000	2.529464	26.0589145775	9	0|2|4|5|6|8|9|10|11	2133.2687021106	0.6857201894	1.0000000000	0.5999800279	0.1747724957	93586.9587326085	33343.6307822971	156208.2529992682	183887.6819875060	253178.3153456341	0.0445856697	993.2336218646
DENSE_INDEPENDENT_LEVELS	2	12	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2187.9737116389	0.4275543162	1.0000000000	0.4499559191	0.7452419873	97876.1061065381	39306.5373162074	169538.3407381797	203480.0559539960	322325.1576292712	0.0474943867	836.8446926427
DENSE_INDEPENDENT_LEVELS	2	12	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2187.9737116389	0.4275543162	1.0000000000	0.4499559191	0.7452419873	98172.4340632934	39100.1346338925	167628.9151197203	202473.0799562375	317801.3024645282	0.0575572933	588.4196811977
DENSE_INDEPENDENT_LEVELS	2	12	CSAA	Optimal	true	79714.5159707912	0.000000000	4.389306	36.3358948395	9	2|3|4|6|7|8|9|10|11	2187.9737116389	0.4275543162	1.0000000000	0.4499559191	0.7452419873	97876.1061065381	39306.5373162074	169538.3407381797	203480.0559539960	322325.1576292712	0.0474943867	836.8446926427
DENSE_INDEPENDENT_LEVELS	2	13	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2134.7371483905	0.9478584890	1.0000000000	0.5094786368	0.0422087140	92995.6063459374	36117.9473149062	171523.3061157911	199240.8737801414	267662.0766763851	0.0449753463	946.8044265696
DENSE_INDEPENDENT_LEVELS	2	13	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2134.7371483905	0.9478584890	1.0000000000	0.5094786368	0.0422087140	93217.0569568029	36239.5032926471	172806.1478851905	199406.7950568301	266135.3681909904	0.0565624652	679.6276449380
DENSE_INDEPENDENT_LEVELS	2	13	CSAA	Optimal	true	85620.9209082527	2.411428250e-05	2.382666	27.3425360898	9	0|2|4|5|6|8|9|10|11	2134.7371483905	0.9478584890	1.0000000000	0.5094786368	0.0422087140	92600.6838979457	35079.3882918304	170064.4207046899	196172.0123400107	257905.2833086317	0.0483696274	1022.2806494715
DENSE_INDEPENDENT_LEVELS	2	14	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	1685.7131685010	0.1285858086	1.0000000000	0.1865435679	0.2648238656	67151.2620693984	25233.6452551488	112951.9016301027	146398.8171758305	212589.4492659151	0.0174208327	2569.1628147459
DENSE_INDEPENDENT_LEVELS	2	14	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	1685.7131685010	0.1285858086	1.0000000000	0.1865435679	0.2648238656	66903.2486011613	25578.3896834138	115170.7559874041	146312.1228438352	212278.0955583441	0.0247369932	1781.9125071439
DENSE_INDEPENDENT_LEVELS	2	14	CSAA	Optimal	true	73266.3279659826	0.000000000	4.062317	35.1200866901	9	0|2|3|4|6|8|9|10|11	1685.7131685010	0.1285858086	1.0000000000	0.1865435679	0.2648238656	66903.2486011613	25578.3896834138	115170.7559874041	146312.1228438352	212278.0955583441	0.0247369932	1781.9125071439
