replication	volatility	capacity_scale	penalty_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
2	HIGH	0.75	1.00	SAA	0.00	Optimal	true	102738.7713662060	5.820694122e-05	2.355249	9	0|3|4|5|6|8|9|10|11	130918.0023096312	65673.2320257171	254602.1160149992	307097.1399164356	477322.2502903764	0.2158564958	1669.4066595117	0.5961299962
2	HIGH	0.75	1.00	CSAA	0.00	Optimal	true	104183.8771494606	7.567548460e-05	2.414152	9	0|2|3|4|6|8|9|10|11	130796.8812681607	66204.3563681802	255335.4583896948	307145.1842542175	478774.8836836038	0.2203525604	892.7280924370	0.6046774908
2	HIGH	0.75	1.00	C_CHI2	0.50	PrimalFeasible	true	129315.9976692732	0.000000000	23.574160	9	0|2|3|4|6|8|9|10|11	130796.8812681607	66204.3563681802	255335.4583896948	307145.1842542175	478774.8836836038	0.2203525604	892.7280924370	0.6046774908
2	HIGH	0.75	2.00	D	0.00	Optimal	true	76152.5231751560	0.000000000	0.022145	9	0|1|4|6|7|8|9|10|11	132546.5696885396	65210.8094326455	252911.0068381249	307900.0403804317	477100.8827232120	0.2172011661	1953.8664105270	0.6067225678
2	HIGH	0.75	2.00	SAA	0.00	Optimal	true	104977.4070927676	0.000000000	2.075912	9	0|2|3|4|6|8|9|10|11	131548.1983714773	65517.6766452426	255338.1843849608	307161.3084779675	478774.8836836038	0.2198817203	1339.6879927464	0.6050426640
2	HIGH	0.75	2.00	CSAA	0.00	Optimal	true	106066.2992738296	0.000000000	2.183762	9	0|2|3|4|6|8|9|10|11	131548.1983714773	65517.6766452426	255338.1843849608	307161.3084779675	478774.8836836038	0.2198817203	1339.6879927464	0.6050426640
2	HIGH	0.75	2.00	C_CHI2	0.50	PrimalFeasible	true	130461.2950602149	0.000000000	10.798293	9	0|2|3|4|6|8|9|10|11	131548.1983714773	65517.6766452426	255338.1843849608	307161.3084779675	478774.8836836038	0.2198817203	1339.6879927464	0.6050426640
2	HIGH	0.75	5.00	D	0.00	Optimal	true	76197.6530701033	0.000000000	0.017187	9	0|1|3|4|6|8|9|10|11	134063.5483707416	63701.1611102708	255650.7866557186	307963.9721141028	477660.7173455354	0.2278389989	2695.9008695905	0.6176903291
2	HIGH	0.75	5.00	SAA	0.00	Optimal	true	110576.2714461511	2.862344372e-05	2.820608	9	0|2|3|4|6|8|9|10|11	133124.7340222862	64018.6772036327	255338.1843849608	307169.6208094216	478774.8836836038	0.2194670574	2438.8548724287	0.6053642675
2	HIGH	0.75	5.00	CSAA	0.00	Optimal	true	110739.3756692130	3.554963457e-07	2.962519	9	0|2|3|4|6|8|9|10|11	133124.7340222862	64018.6772036327	255338.1843849608	307169.6208094216	478774.8836836038	0.2194670574	2438.8548724287	0.6053642675
2	HIGH	0.75	5.00	C_CHI2	0.50	PrimalFeasible	true	133279.1048013138	0.000000000	1.797846	9	0|2|3|4|6|8|9|10|11	133124.7340222862	64018.6772036327	255338.1843849608	307169.6208094216	478774.8836836038	0.2194670574	2438.8548724287	0.6053642675
