replication	design	base_cv	top5_share	mean_loading_cosine	mean_context_share_tv	q95_context_share_tv	total_conditional_mean_cv	mean_lane_q90_q10_ratio
51	three_level_original_coefficients	0.7972279156	0.2441490145	0.9775873279	0.0084832262	0.0134477808	0.1353785314	1.4374038783
52	three_level_original_coefficients	0.7949218667	0.2368302697	0.9742052179	0.0085745396	0.0131183284	0.1346150224	1.4461522465
53	three_level_original_coefficients	0.8090481949	0.2471085989	0.9706388129	0.0093006964	0.0147264845	0.1353981035	1.4315157642
54	three_level_original_coefficients	0.7899329067	0.2416805493	0.9698659299	0.0093698975	0.0147570716	0.1321101378	1.4147895551
55	three_level_original_coefficients	0.8093141136	0.2421703584	0.9733021418	0.0088824837	0.0137011096	0.1342076573	1.4262438300
56	three_level_original_coefficients	0.8016010103	0.2408492434	0.9762545941	0.0088671948	0.0136954438	0.1344764483	1.4291626006
57	three_level_original_coefficients	0.8143505908	0.2362012495	0.9741431570	0.0089882620	0.0140360518	0.1301904386	1.4113208630
58	three_level_original_coefficients	0.8545313984	0.2575828303	0.9695767261	0.0093700196	0.0143146772	0.1323660402	1.4247402156
59	three_level_original_coefficients	0.7833995174	0.2249481011	0.9679690332	0.0096614996	0.0158693056	0.1338990708	1.4280361386
60	three_level_original_coefficients	0.7911278619	0.2356510291	0.9721125316	0.0095684909	0.0147348154	0.1310221454	1.4301710812
61	three_level_original_coefficients	0.8155570100	0.2508951923	0.9768557241	0.0085905500	0.0132571793	0.1305824787	1.4131806262
62	three_level_original_coefficients	0.7764938310	0.2359105652	0.9721081020	0.0092324602	0.0146749568	0.1307662681	1.4184063224
63	three_level_original_coefficients	0.7975287775	0.2453335628	0.9764051168	0.0087151694	0.0137425429	0.1324556158	1.4203675576
64	three_level_original_coefficients	0.8338708543	0.2468946416	0.9750975156	0.0089435716	0.0142746609	0.1346186127	1.4295249028
65	three_level_original_coefficients	0.7915586390	0.2355320078	0.9773255282	0.0081101272	0.0126453316	0.1342873600	1.4340284338
66	three_level_original_coefficients	0.8159670287	0.2432190259	0.9723806015	0.0093089208	0.0142813834	0.1348867101	1.4385866164
67	three_level_original_coefficients	0.7760372457	0.2280092652	0.9722892412	0.0088812409	0.0137878692	0.1344446674	1.4277153659
68	three_level_original_coefficients	0.7797237736	0.2343278496	0.9710372719	0.0093277675	0.0143195724	0.1316825802	1.4201043614
69	three_level_original_coefficients	0.8047381751	0.2452762352	0.9713932185	0.0089011347	0.0145341858	0.1322991492	1.4261653250
70	three_level_original_coefficients	0.7958847132	0.2532302790	0.9730380579	0.0090450080	0.0136466993	0.1345162994	1.4276398872
71	three_level_original_coefficients	0.8103723834	0.2475924468	0.9719048911	0.0088441415	0.0139508870	0.1287263070	1.4181702388
72	three_level_original_coefficients	0.7962573393	0.2425757957	0.9758067119	0.0087546298	0.0131084174	0.1323326017	1.4237077698
73	three_level_original_coefficients	0.7904033157	0.2449113832	0.9776492048	0.0083477861	0.0130825937	0.1337617689	1.4229134885
74	three_level_original_coefficients	0.8078853939	0.2437162362	0.9748947026	0.0081735130	0.0126486302	0.1349435442	1.4374698660
75	three_level_original_coefficients	0.8109375954	0.2362254867	0.9747412208	0.0082247979	0.0130666182	0.1337398031	1.4264891510
76	three_level_original_coefficients	0.7785834178	0.2312988611	0.9767104263	0.0087967951	0.0133336608	0.1312981623	1.4215103144
77	three_level_original_coefficients	0.8088653461	0.2288913538	0.9756927362	0.0091287332	0.0141051243	0.1315265025	1.4256803657
78	three_level_original_coefficients	0.7985721984	0.2313524423	0.9748371715	0.0088944662	0.0137708362	0.1313057469	1.4195022904
79	three_level_original_coefficients	0.7800579500	0.2349437144	0.9725838524	0.0091225080	0.0148972128	0.1292851147	1.4195321942
80	three_level_original_coefficients	0.8160293965	0.2444996808	0.9702146134	0.0095013558	0.0154734198	0.1315419804	1.4222595652
81	three_level_original_coefficients	0.7668485522	0.2359147825	0.9757628299	0.0086743027	0.0136294164	0.1321211151	1.4273735949
82	three_level_original_coefficients	0.8231668440	0.2429051687	0.9754635055	0.0090466119	0.0136138347	0.1332132297	1.4224371633
83	three_level_original_coefficients	0.7627841739	0.2357817855	0.9685696492	0.0096584872	0.0150071524	0.1302896821	1.4252989539
84	three_level_original_coefficients	0.8081517605	0.2387470954	0.9684333905	0.0100706610	0.0155384653	0.1311687816	1.4198715893
85	three_level_original_coefficients	0.8413883900	0.2507488506	0.9708471169	0.0097748809	0.0151020853	0.1339247616	1.4343264637
86	three_level_original_coefficients	0.8072352818	0.2394231878	0.9746464193	0.0085290311	0.0131578198	0.1244769165	1.3980808411
87	three_level_original_coefficients	0.7972339575	0.2344027702	0.9732865390	0.0093955896	0.0145782634	0.1286337445	1.4101321467
88	three_level_original_coefficients	0.8167465176	0.2427076988	0.9725746528	0.0093604567	0.0145409921	0.1287868380	1.4180841412
89	three_level_original_coefficients	0.8494384524	0.2366308121	0.9766207068	0.0086161010	0.0129808577	0.1298550145	1.4191604902
90	three_level_original_coefficients	0.8303242209	0.2398196722	0.9737826194	0.0093916327	0.0146291960	0.1311343081	1.4147278326
91	three_level_original_coefficients	0.8108562516	0.2487588919	0.9738399813	0.0090889307	0.0139730211	0.1365626862	1.4383198663
92	three_level_original_coefficients	0.7570145252	0.2265520952	0.9755284107	0.0090110096	0.0148452181	0.1324288100	1.4263172888
93	three_level_original_coefficients	0.7957746122	0.2406071284	0.9753958321	0.0084872119	0.0133689954	0.1336090414	1.4358546294
94	three_level_original_coefficients	0.8089498502	0.2406078866	0.9767095219	0.0088687057	0.0135378292	0.1333734832	1.4242835205
95	three_level_original_coefficients	0.7929687304	0.2446015390	0.9726740782	0.0093570093	0.0147415077	0.1318551315	1.4197489219
96	three_level_original_coefficients	0.8270821113	0.2445821095	0.9721019457	0.0093752329	0.0145535106	0.1308203762	1.4127612134
97	three_level_original_coefficients	0.7681713113	0.2302219548	0.9724116978	0.0088635171	0.0138886137	0.1353253493	1.4291816558
98	three_level_original_coefficients	0.8159193020	0.2531431340	0.9744130301	0.0088590592	0.0138433534	0.1293874266	1.4160548448
99	three_level_original_coefficients	0.7967604837	0.2357681922	0.9710740382	0.0093557531	0.0148621088	0.1322567845	1.4270117476
100	three_level_original_coefficients	0.7812287893	0.2436844326	0.9728815689	0.0094631544	0.0149427345	0.1306186042	1.4248382309
101	three_level_original_coefficients	0.8217050268	0.2484496381	0.9748879744	0.0093689200	0.0144836378	0.1355792901	1.4325388690
102	three_level_original_coefficients	0.7686908478	0.2319039843	0.9715143349	0.0094350639	0.0145130469	0.1304573289	1.4141114882
103	three_level_original_coefficients	0.8154085051	0.2325849459	0.9731464946	0.0093340083	0.0145750161	0.1307379685	1.4200703425
104	three_level_original_coefficients	0.8260509073	0.2434385707	0.9756723817	0.0085445492	0.0140343969	0.1283151397	1.4141314477
105	three_level_original_coefficients	0.7919421604	0.2350167150	0.9751381579	0.0085913860	0.0134418281	0.1375818463	1.4276770390
106	three_level_original_coefficients	0.7999417258	0.2410540197	0.9717340449	0.0094455358	0.0160716023	0.1309472910	1.4270374367
107	three_level_original_coefficients	0.7901485391	0.2484125335	0.9705928222	0.0098305064	0.0152556838	0.1350186400	1.4372190457
108	three_level_original_coefficients	0.7925700690	0.2376897128	0.9702170580	0.0091202599	0.0146478140	0.1279704296	1.4020144250
109	three_level_original_coefficients	0.7619066252	0.2283484711	0.9758332838	0.0095005208	0.0151909965	0.1334948193	1.4280469882
110	three_level_original_coefficients	0.7930736043	0.2355287726	0.9736968335	0.0088996408	0.0142502176	0.1348260436	1.4401558139
111	three_level_original_coefficients	0.8026085727	0.2420340640	0.9747693197	0.0087482218	0.0140273640	0.1350752340	1.4315509812
112	three_level_original_coefficients	0.7389676679	0.2275081100	0.9716522423	0.0092612806	0.0145276881	0.1327958037	1.4231392010
113	three_level_original_coefficients	0.8109417890	0.2438568263	0.9728222598	0.0093264723	0.0147951446	0.1327716805	1.4191871168
114	three_level_original_coefficients	0.8538454175	0.2391169549	0.9741391617	0.0087329848	0.0137899327	0.1358655876	1.4370801036
115	three_level_original_coefficients	0.7450646941	0.2257623526	0.9724458857	0.0099239944	0.0157159736	0.1271837154	1.4070224917
116	three_level_original_coefficients	0.8089807214	0.2365866146	0.9674410612	0.0101005567	0.0159295192	0.1302435677	1.4187439911
117	three_level_original_coefficients	0.8139746177	0.2371709120	0.9691008656	0.0092866974	0.0142054251	0.1303378621	1.4275330367
118	three_level_original_coefficients	0.8061467384	0.2422338169	0.9717316557	0.0092090747	0.0143559379	0.1323865069	1.4313777077
119	three_level_original_coefficients	0.8351741947	0.2509092061	0.9730982482	0.0087579616	0.0139189473	0.1353652183	1.4365449807
120	three_level_original_coefficients	0.8179866934	0.2429131266	0.9754122794	0.0084239318	0.0134954529	0.1317479527	1.4220254770
121	three_level_original_coefficients	0.8492301974	0.2506389801	0.9708784189	0.0088721116	0.0133960222	0.1286887496	1.4051752260
122	three_level_original_coefficients	0.7971876473	0.2417579016	0.9741071803	0.0084909919	0.0129032721	0.1304472328	1.4194202815
